x,y
-163.80920176139358,-496.00463437498917
-163.46113437529692,-495.6457090646655
-163.11306698920026,-495.2867837543418
-162.79503581385475,-494.9009999527621
-162.47700463850924,-494.5152161511824
-162.20433488033584,-494.0961464037688
-161.93166512216243,-493.67707665635515
-161.65899536398902,-493.2580069089415
-161.3863256058156,-492.8389371615279
-161.1136558476422,-492.41986741411426
-160.89045268497827,-491.97249217797355
-160.66724952231434,-491.52511694183283
-160.4440463596504,-491.0777417056921
-160.26202782694628,-490.61207342486273
-160.08000929424216,-490.14640514403334
-159.89799076153804,-489.68073686320395
-159.71597222883392,-489.21506858237456
-159.5928571303722,-488.7304711587936
-159.4697420319105,-488.2458737352126
-159.36756970732333,-487.7564269707857
-159.26539738273615,-487.26698020635877
-159.16322505814898,-486.77753344193184
-159.0871252256049,-486.28335859561645
-159.0110253930608,-485.78918374930106
-158.9611101890332,-485.4650458707474
-158.8741280290111,-484.97276796648134
-158.787145868989,-484.48049006221527
-158.69243357710897,-483.98954811707273
-158.59772128522894,-483.4986061719302
-158.5030089933489,-483.00766422678765
-158.40829670146888,-482.5167222816451
-158.29582455494392,-482.02954148798466
-158.18335240841895,-481.5423606943242
-158.070880261894,-481.05517990066375
-157.95840811536902,-480.5679991070033
-157.84593596884406,-480.08081831334283
-157.71569630744943,-479.5980795622027
-157.5854566460548,-479.1153408110626
-157.45521698466018,-478.6326020599225
